2, 300, 290
2, 301, 289
2, 302, 288
2, 303, 287
2, 330, 310
2, 329, 309
2, 331, 305
2, 345, 300
2, 30, 330
2, 31, 320
2, 33, 315
2, 35, 310
2, 45, 330
2, 42, 306
2, 24, 340
2, 20, 290
2, 240, 260
2, 195, 230
2, 200, 220
2, 225, 240
2, 220, 255
2, 215, 235
2, 245, 250
2, 190, 210
2, 150, 190
2, 145, 195
2, 140, 200
2, 135, 205
2, 130, 210
2, 125, 215
2, 120, 220
2, 115, 225
2, 120, 160
2, 115, 165
2, 110, 170
2, 105, 155
2, 100, 150
2, 95, 145
2, 125, 143
2, 130, 138
2, 70, 45
2, 75, 50
2, 80, 55
2, 65, 40
2, 60, 35
2, 55, 30
2, 50, 25
2, 45, 20
